product_code,bedge,text,user,created_at,product_option,question,answer
01P0000000375,답변완료,얘만 장바구니에 안담겨요ㅜㅜ,shin******,2020.11.29,기타,얘만 장바구니에 안담겨요ㅜㅜ,"안녕하세요, 고객님.
신세계인터내셔날 상품문의 담당자입니다.

문의하신 내용에 답변드리겠습니다.

이용에 불편을 드려 대단히 죄송합니다.

해당 상품은 장바구니에 담기 가능하도록 수정 되었으니
많은 이용 부탁드립니다.

귀중한 시간을 내어 남겨주신 소중한 글에 감사드리며,
더 나은 서비스로 고객님의 성원에 보답하는 S.I.VILLAGE가 되겠습니다.
감사합니다."
01P0000000509,답변완료,용량이 어떻게 되나요?,gogo******,2022.12.10,기타,용량이 어떻게 되나요?,"안녕하세요,고객님.
신세계인터내셔날 상품문의 담당자 입니다.

문의하신 내용 답변드리도록 하겠습니다.

우선 답변이 늦어 대단히 죄송합니다. 

용량은 약 36ml입니다. 쇼핑에 참고 부탁드립니다. 

또 다른 문의사항이 있으시거나 요청사항이 있으시다면 언제든지 문의 
부탁드립니다.
편안하고 행복한 하루 되십시오.감사합니다."
01P0000000535,답변완료,세척솔 리필이 안 된다는 답변 봤습니다  통은 수명이 길고 솔은 수명이 짧은데 솔 리필이 안 된다니 조금 아쉽네요. 제조사에서 소비자를 위해 리필용이 만들어 졌음 좋겠습니다 ㅠㅠ 혹시 자주 제품 솔중 호환 가능한 상품은 없을까요?,june******,2024.04.15,기타,세척솔 리필이 안 된다는 답변 봤습니다  통은 수명이 길고 솔은 수명이 짧은데 솔 리필이 안 된다니 조금 아쉽네요. 제조사에서 소비자를 위해 리필용이 만들어 졌음 좋겠습니다 ㅠㅠ 혹시 자주 제품 솔중 호환 가능한 상품은 없을까요?,"안녕하세요. 고객님S.I VILLAGE 상품문의 담당자 김도연입니다.문의하신 상품 현재 스테인리스 부착 변기솔 리필 제품은 판매되고 있지 않습니다. 자사의 스텐 변기솔은 문의 주신 스테인리스 부착 변기솔과 동일한 솔을 사용하고 있습니다.다른 문의사항이나 불편사항이 있으시다면,언제든지 고객센터 1644-4490 혹은 1:1 문의/채팅 상담 이용을 부탁드립니다.봄의 따뜻한 햇살이 가득한 4월,건강과 행복이 함께하시길 바랍니다.감사합니다."
01P0000000535,답변완료,안녕하세요 이제품 몇시까지 결제하면 당일발송 해주시나요?,won5******,2023.09.01,기타,안녕하세요 이제품 몇시까지 결제하면 당일발송 해주시나요?,"안녕하세요,고객님.S.I VILLAGE 상품문의 담당자 박소연입니다.S.I.VILLAGE의 상품 출고는 구매 후 영업일 기준 평균적으로 2~3일 소요되고 있으며,최대한 당일 출고될 수 있도록 노력하고 있습니다.다만, 주문량이 급증하거나 재고 및 물류 상황, 입점 상품에 따라출고일은 다소 지연될 수 있는 점 양해 부탁드립니다.(※오후 결제 건인 경우 주문서가 다음날 전달될 수 있습니다.)순차 출고될 예정으로 정확한 발송 일자는 안내 어려우며,검수 중 불량, 재고 부족 사유로 취소될 수 있는 점 양해 부탁드립니다.배송상황은 마이페이지에서 확인가능합니다.주문 후 배송관련 자세한 문의는고객센터(1644-4490) 혹은 1:1문의 게시판/카카오톡으로 문의주신다면확인 후 답변 도와드리도록 하겠습니다.상품문의를 통해서는 주문내역 확인이 어렵기 때문에 자세한 확인 및안내가 어려운 점 양해 부탁드립니다.시간이 훌쩍 지나 어느덧 9월, 가을의 시작이 다가왔습니다.높고 푸른 하늘을 보며 항상 좋은 일만 가득하셨으면 좋겠습니다.감사합니다."
01P0000000535,답변완료,세척솔이 오래 되니까 손잡이와 분리 되고 못쓰게 되는데 리필할 수 있는 솔을 구매 할 수 있으면 좋겠습니다. 욕실 벽에 붙여 놨는데 솔이 없으니 맞는솔을 다른곳에서 찾아야 하니 불편 합니다.,hera******,2023.08.09,기타,세척솔이 오래 되니까 손잡이와 분리 되고 못쓰게 되는데 리필할 수 있는 솔을 구매 할 수 있으면 좋겠습니다. 욕실 벽에 붙여 놨는데 솔이 없으니 맞는솔을 다른곳에서 찾아야 하니 불편 합니다.,"안녕하세요. 고객님신세계 인터내셔날 상품문의 담당자입니다.먼저, 상품으로 인해 고객님께 불편 드려 죄송합니다.해당 제품 리필 가능한 변기 솔 관련 고객님의 소중한 의견  유관부서로 전달하여추후 상품 개발에 반영될 수 있도록 하겠습니다.귀중한 시간을 내어 남겨주신 고객님께 감사드리며,더 나은 서비스로 고객님의 성원에 보답하는 S.I.VILLAGE가 되겠습니다.다른 문의사항이나 불편사항이 있으시다면,언제든지 고객센터 1644-4490 혹은 1:1 문의/카카오톡 채팅 상담 이용을 부탁드립니다.무더운 여름 날씨에 건강 유의하시고 즐거운 하루 보내시기 바랍니다.감사합니다."
01P0000000689,답변완료,,kmin******,2022.09.22,기타,,
01P0000000790,답변완료,장바구니 담는 버튼이 없고 바로구매만 떠요,shir******,2022.09.03,클리어 화이트,장바구니 담는 버튼이 없고 바로구매만 떠요,"안녕하세요, 고객님.
상품문의 담당자입니다.

고객님 문의에 답변드리겠습니다. 

해당 상품 ""쇼핑백"" 담기 가능하도록 수정 처리되었습니다.
쇼핑에 불편을 드려 죄송합니다.

더 나은 서비스로 고객님의 성원에 보답하는 신세계인터내셔날이 되겠습니다.
감사합니다."
01P0000001026,답변완료,쇼핑백에 담기게 해주세요,gnsd******,2022.03.27,기타,쇼핑백에 담기게 해주세요,"안녕하세요, 고객님.
신세계인터내셔날 상품문의 담당자입니다.

현재 쇼핑백 담기 가능하도록 수정되었습니다. 불편을 드려 죄송합니다.

더 나은 서비스로 고객님의 성원에 보답하는 신세계인터내셔날이 되겠습니다.
감사합니다."
01P0000001176,답변완료,스텐 강종 문의드립니다.,pean******,2022.11.28,기타,스텐 강종 문의드립니다.,"안녕하세요, 고객님.
상품문의 담당자입니다.

고객님 문의에 답변드리겠습니다. 

해당 상품의 스텐 강종 204 입니다.

더 나은 서비스로 고객님의 성원에 보답하는 신세계인터내셔날이 되겠습니다.
감사합니다."
01P0000001176,답변완료,재입고 문의 드립니다.,hwna******,2021.08.27,기타,재입고 문의 드립니다.,"안녕하세요,고객님.
신세계인터내셔날 상품문의 담당자 입니다.

문의하신 내용 답변드리도록 하겠습니다.

대단히 죄송하게도 해당 상품은 별도의 입고 예정이 없는 상태입니다.
언제 쯤 재입고 될지 말씀 드리기 어려운 점 양해 부탁드립니다.

귀중한 시간을 내어 남겨주신 소중한 글에 감사드리며,
더 나은 서비스로 고객님의 성원에 보답하는 S.I.VILLAGE가 되겠습니다.

감사합니다."
01P0000001176,답변완료,"왜 장바구니 추가가 안 되고, 바로 구매만 뜰까요?
다른 것과 함께 결제하면 택배비용이 안 드는데, 한 상품 바로 구매만 되니 택배비가 나오네요..",gree******,2020.07.18,기타,"왜 장바구니 추가가 안 되고, 바로 구매만 뜰까요?
다른 것과 함께 결제하면 택배비용이 안 드는데, 한 상품 바로 구매만 되니 택배비가 나오네요..","안녕하세요,고객님.
신세계인터내셔날 상품문의 담당자 입니다.

문의하신 사항에 대해 답변 드리겠습니다.

수정완료 하였습니다. 
번거로우시겠지만 다시한번 확인 부탁드립니다. 

귀중한 시간을 내어 남겨주신 소중한 글에 감사드리며,
더 나은 서비스로 고객님의 성원에 보답하는 S.I.VILLAGE가 되겠습니다.

감사합니다."
01P0000001195,답변완료,세척하고 마른 수건으로 닦아놓아 사용하려고 하는데 바닥이 들뜨고 뒤틀림이 있어요 어떻게 해야할까요?,,2022.03.29,기타,세척하고 마른 수건으로 닦아놓아 사용하려고 하는데 바닥이 들뜨고 뒤틀림이 있어요 어떻게 해야할까요?,"안녕하세요, 고객님.
신세계인터내셔날 상품문의 담당자입니다.

상품 Q&A를 통해서는 주문 내역 확인이 안되기 때문에
주문내역 등 고객님 확인이 필요한 문의는 번거로우시겠지만
해당 부분 사진이나 동영상 촬영 후 
고객센터(164-4490) 혹은 1:1문의 게시판/카카오톡으로 연락 주시면
빠른 확인 후 안내해 드리겠습니다.

더 나은 서비스로 고객님의 성원에 보답하는 신세계인터내셔날이 되겠습니다.
감사합니다."
01P0000001195,답변완료,,rjh0******,2021.08.04,기타,,
01P0000001195,답변완료,"안녕하세요,,
다른거랑 같이 구매하려는데요..
장바구니에 담을 수 있지 못하네요
바로구매는 되는데말이지요..
확인부탁드립니다..",0526******,2020.08.17,기타,"안녕하세요,,
다른거랑 같이 구매하려는데요..
장바구니에 담을 수 있지 못하네요
바로구매는 되는데말이지요..
확인부탁드립니다..","안녕하세요, 고객님.
신세계인터내셔날 상품문의 담당자입니다.

문의하신 내용에 답변드리겠습니다.

해당 상품 장바구니에 담을 수 있도록 수정되었습니다.
쇼핑에 불편을 드려 대단히 죄송합니다.

귀중한 시간을 내어 남겨주신 소중한 글에 감사드리며,
더 나은 서비스로 고객님의 성원에 보답하는 S.I.VILLAGE가 되겠습니다."
01P0000001205,답변완료,,su-m******,2023.02.06,기타,,
01P0000001205,답변완료,"오늘 상품을 받았는데
밑부분이 균형이 전혀 안맞아요 너무 심하게 안맞는데 교환해주세요",alsw******,2019.01.24,기타,"오늘 상품을 받았는데
밑부분이 균형이 전혀 안맞아요 너무 심하게 안맞는데 교환해주세요","안녕하세요. 고객님.
신세계인터내셔날입니다.

상품 Q&A를 통해서는 주문 건과 관련된 배송, 교환, 환불 안내가 어렵기 때문에 
자세한 문의는 고객센터 & 1:1게시판 를 이용 부탁드립니다.
도움이 되어드리지 못해 죄송합니다.

더 나은 서비스로 고객님의 성원에 보답하는 신세계인터내셔날이 되겠습니다.
편안하고 행복한 하루 보내세요. 감사합니다."
01P0000001205,답변완료,"재입고안될까요?

원형접시 큰사이즈두 애타고찾고 문의드렸는데 연락주신다구하고 연라이없네요ᆢ",,2017.02.05,기타,"재입고안될까요?

원형접시 큰사이즈두 애타고찾고 문의드렸는데 연락주신다구하고 연라이없네요ᆢ","안녕하세요 고객님.신세계인터내셔날 입니다.대단히 죄송하게도 해당 상품은 별도의 입고 예정이 없는 상태입니다.정확한 입고일자에 대해 답변드리지 못하는 점 양해 부탁드리겠습니다.상품 페이지에서 재입고 알림 신청을 해두시면신세계인터내셔날 온라인스토어에 재입고 될 경우 메일 및 문자메시지를 보내드립니다.상품 재입고시, 더 빠른 연락 받으시고 편안한 쇼핑 되시길 바랍니다.재입고 알림신청 방법 -> [품절 상품의 상품페이지 -> 재입고 알림신청 클릭 -> 수신할 핸드폰번호, 이메일 주소 입력 후 알림신청하기]더 나은 서비스로 고객님의 성원에 보답하는 신세계인터내셔날이 되겠습니다.편안하고 행복한 하루 되십시오. 감사합니다."
01P0000001397,답변완료,입고 언제 되나요?,jsh3******,2024.07.01,기타,입고 언제 되나요?,"안녕하세요, 고객님S.I VILLAGE 상품문의 담당자 김도연입니다.먼저, 품절로 인해 쇼핑에 불편함을 드려 죄송합니다.해당 상품 재입고 일정은 브랜드의 전반적인 재고 및 내부 상황에 따라 결정되어정확한 안내드리기 어려운 점에 양해 부탁드립니다.다만 재입고 신청하시면 상품 입고 시 알림을 받으실 수 있습니다.※ 재입고 알림 신청 방법1. 상품 이미지 등을 클릭하여 상품 페이지로 이동2. 재입고 알림 신청 버튼 클릭3. 알림을 받을 이메일과, 휴대폰 번호 설정 후 알림 신청하기 버튼 클릭(판매 종료 상품의 경우 재입고 알림 신청이 어려운 점 양해 부탁드립니다.)4. 재입고 알림 신청 시 유효기간은 2주이며, 알림 기간이 지난 내역은 리스트에서 자동으로 삭제5. 리오더 제품이 입고되었을 경우에도 알림 문자 발송1회에 한 해 알림 문자가 발송되며 인기상품은 재입고 신청한 고객님 모두에게 발송되기에 바로 품절될 수 있는 점은 양해 부탁드립니다.다른 문의사항이나 불편사항이 있으시다면,언제든지 고객센터 1644-4490 혹은 1:1 문의/ 채팅 상담 이용을 부탁드립니다.(※고객센터 업무시간 : 평일 09:00 ~ 18:00 / 주말, 공휴일 제외장마로 옷은 젖어도 기분은 뽀송한 하루 보내시길 바라며,별다른 피해없이 잘 지나가시기를 바랍니다.감사합니다."
01P0000001397,답변완료,,yjik******,2023.06.22,기타,,
01P0000001436,답변완료,"안녕하세요
유리제품은 없을까요?
확인바랍니다",skha******,2023.03.25,투명,"안녕하세요
유리제품은 없을까요?
확인바랍니다","안녕하세요. 고객님.

S.I. VILLAGE 상품문의 담당자 입니다.

검색창에 ""오일병"" 검색 시 유리제품도 판매되고 있습니다.

구매 시 참고 부탁드립니다.

따스한 봄 기운에 꽃길만 걸으시고 따뜻한 봄 날씨처럼 고객님의 마음에도 항상 봄이 오기를 기원합니다.

감사합니다."
01P0000001436,답변완료,,ican******,2022.12.28,투명,,
01P0000001436,답변완료,용량이랑 사이즈 같은 중요한 정보도 상품소개에 적어주시면 좋지 않을까 싶습니다.,eyki******,2021.04.30,투명,용량이랑 사이즈 같은 중요한 정보도 상품소개에 적어주시면 좋지 않을까 싶습니다.,"안녕하세요, 고객님.
신세계인터내셔날 상품문의 담당자입니다.

문의하신 내용에 답변드리겠습니다.

사이즈는 22x7cm입니다.
사이즈에 대해 추가 기입하겠습니다. 

귀중한 시간을 내어 남겨주신 소중한 글에 감사드리며,
더 나은 서비스로 고객님의 성원에 보답하는 S.I.VILLAGE가 되겠습니다.

감사합니다."
01P0000001447,답변완료,"스텐강종이 정확히 어떤건가요? 18년 문의글엔 304, 21년 문의글에는 204라고 답변 해놓으셔서 의아합니다.",jjog******,2023.10.12,기타,"스텐강종이 정확히 어떤건가요? 18년 문의글엔 304, 21년 문의글에는 204라고 답변 해놓으셔서 의아합니다.","안녕하세요,고객님. 신세계인터내셔날 상품문의 담당자 오승미입니다. JAJU에서는 가장 품질이 우수한 판재 304와 와이어 204를 사용하고 있습니다. 해당 제품의 경우 국내산 스텐 와이어가 사용되어, 강종은 204입니다. JAJU가 사용하는 스텐 와이어는 국내 주방기구에서 취급하는 와이어 중 가장 품질이 우수한 소재이며, 가공의 특성상 판재와 와이어를 구분하여 사용하고 있으니 참고 부탁드립니다. 참고하시어 구매 부탁드립니다. 다른 문의사항이나 불편사항이 있으시다면, 언제든지 고객센터 1644-4490 혹은 1:1 문의/카카오톡 채팅 상담 이용을 부탁드립니다. 바람이 꽤 선선해지고 하늘도 많이 높아진 10월입니다. 새로운 계절이 주는 즐거움을 만끽하며 새로운 희망으로 가득 찬 하루 보내시기 바랍니다. 감사합니다."
01P0000001447,답변완료,가로세로높이 알려주세요,pure******,2022.01.19,기타,가로세로높이 알려주세요,"안녕하세요, 고객님.
신세계인터내셔날 상품문의 담당자입니다.

해당 상품의 크기는 약 가로31x세로11x높이19.3cm입니다.
구매 시 참고해 주세요.

더 나은 서비스로 고객님의 성원에 보답하는 신세계인터내셔날이 되겠습니다.
감사합니다."
01P0000001447,답변완료,,anle******,2021.03.29,기타,,
01P0000001660,답변완료,,hone******,2024.06.03,기타,,
01P0000001853,답변완료,,szha******,2024.09.08,그레이,,
01P0000001853,답변완료,,,2022.02.22,그레이,,
01P0000001853,답변완료,"원단이 몇 수인지, 언제 생산된 제품인지 알려주세요",jung******,2019.10.21,그레이,"원단이 몇 수인지, 언제 생산된 제품인지 알려주세요","안녕하세요. 고객님.
신세계인터내셔날입니다. 

문의하신 상품은 20수(코마사, 면 100%) 제품이며 
18년 6월 생산 제품부터 순차 출고되고 있습니다.

감사 합니다. 편안하고 행복한 하루 보내세요.
고객님의 성원에 보답하는 신세계인터내셔날이 되겠습니다."
01P0000001963,답변완료,추후 떼어낼 시 스티커 제거는 어떻게 하나요?,pall******,2023.08.21,기타,추후 떼어낼 시 스티커 제거는 어떻게 하나요?,"안녕하세요. 고객님 신세계 인터내셔날 상품문의 담당자  오승미입니다. 해당 상품은 3M 아크릴계 폼 테이프를 사용 분리할 때는 행거와 부착된 면을 잘 떼어낸 후, 남은 테이프를 때 밀 듯 비벼서 제거하면 깨끗이 제거됩니다. 상품 이용에 참고 부탁드립니다. 다른 문의사항이나 불편사항이 있으시다면, 언제든지 고객센터 1644-4490 혹은 1:1 문의/카카오톡 채팅 상담 이용을 부탁드립니다. 무더운 여름 날씨에 건강 유의하시고 즐거운 하루 보내시기 바랍니다. 감사합니다."
01P0000001963,답변완료,자석 기능있나요??,qkrt******,2020.10.13,기타,자석 기능있나요??,"안녕하세요,고객님.
신세계인터내셔날 상품문의 담당자 입니다.

문의하신 내용 답변드리도록 하겠습니다.

해당 상품은 3M 테이프 외에 별도의 자석 기능은 없습니다. 

귀중한 시간을 내어 남겨주신 소중한 글에 감사드리며,
더 나은 서비스로 고객님의 성원에 보답하는 S.I.VILLAGE가 되겠습니다.

감사합니다."
01P0000001963,답변완료,"장바구니로 이동이 안되고 바로구매만 가능하네요
배송비 부과땜에 그러는데 확인좀 해주세요",kitt******,2020.09.18,기타,"장바구니로 이동이 안되고 바로구매만 가능하네요
배송비 부과땜에 그러는데 확인좀 해주세요","안녕하세요, 고객님.
신세계인터내셔날 상품문의 담당자입니다.

문의하신 내용에 답변드리겠습니다.

쇼핑에 불편을 드려 대단히 죄송합니다.

해당 상품 쇼핑백 담기 가능하도록 수정되었으니
많은 이용 부탁드립니다.

귀중한 시간을 내어 남겨주신 소중한 글에 감사드리며,
더 나은 서비스로 고객님의 성원에 보답하는 S.I.VILLAGE가 되겠습니다.
감사합니다."
01P0000002036,답변완료,식기세척기 사용가능한가요,teay******,2024.07.15,기타,식기세척기 사용가능한가요,"안녕하세요. 고객님S.I VILLAGE 상품문의 담당자 김도연입니다.문의하신 상품 고온에 기물의 변형이 발생하는 소재는 아니지만, 식기세척기 사용 시 표면에 스크래치가 발생하고 외관의 품질이 현격히 저하될 수 있어 사용을 권장하지 않습니다.답변 지연으로 기다리시게 해드려 진심으로 죄송합니다.다른 문의사항이나 불편사항이 있으시다면,언제든지 고객센터 1644-4490 혹은 1:1 문의/ 채팅 상담 이용을 부탁드립니다.본격적인 장마와 무더위가 시작되는 7월입니다.항상 건강 유의하시고 소중한 사람들과 함께 늘 즐거운 시간 가득, 행복도 가득하시길 기원합니다.감사합니다."
01P0000002036,답변완료,,firs******,2022.11.05,기타,,
01P0000002036,답변완료,,,2021.04.15,기타,,
01P0000002406,답변완료,,jun8******,2023.07.24,기타,,
01P0000002406,답변완료,길이와 동그란 부분 사이즈 알려 주세요,,2022.05.08,기타,길이와 동그란 부분 사이즈 알려 주세요,"안녕하세요, 고객님.
신세계인터내셔날 상품문의 담당자입니다.

먼저, 답변이 늦어진 점 정중히 사과드립니다.

해당 상품 티스푼 헤드 부분 너비 2.5cm, 높이 3.5cm 입니다.
구매 시 참고해 주세요.

더 나은 서비스로 고객님의 성원에 보답하는 신세계인터내셔날이 되겠습니다.
감사합니다."
01P0000002426,답변완료,입고 여부 알수있을까요?,nann******,2023.02.21,그레이,입고 여부 알수있을까요?,"안녕하세요. 고객님.

S.I. VILLAGE 상품문의 담당자 입니다.

먼저, 품절로 인해 쇼핑에 불편함을 드려 죄송합니다.

해당 상품 재입고 일정 시기는 브랜드의 전반적인 재고 및 내부 상황에 따라 결정되어 정확한 안내를 드리기 어려운 점 양해 부탁드립니다.

다만 재입고 알림을 신청하시면 상품 입고 시 알림을 받으실 수 있습니다.

※ 재입고 알림 신청 방법

1. 상품 이미지 등을 클릭하여 상품 페이지로 이동
2. 재입고 알림 신청 버튼 클릭
3. 알림을 받을 이메일과, 휴대폰 번호 설정 후 알림 신청하기 버튼 클릭
(판매 종료 상품의 경우 재입고 알림 신청이 어려운 점 양해 부탁드립니다.)
4. 재입고 알림 신청 시 유효기간은 2주이며, 알림 기간이 지난 내역은 리스트에서 자동으로 삭제
5. 리오더 제품이 입고되었을 경우에도 알림 문자 발송

1회에 한 해 알림 문자가 발송되며 인기상품은 재입고 신청한 고객님 모두에게 발송되기에 바로 품절 될 수 있는 점은 양해 부탁드립니다.

오늘 하루도 고객님의 따뜻한 미소로 추위를 사르르 녹여주는 예쁜 하루가 되었으면 좋겠습니다. 

감사합니다."
01P0000002426,답변완료,몇 리터짜리인지 용량을 알려주실 수 있나요?,gktk******,2022.11.17,그레이,몇 리터짜리인지 용량을 알려주실 수 있나요?,"안녕하세요. 고객님
신세계 인터내셔날 상품문의 담당자입니다.

해당 상품 크기 안내 드리겠습니다.
45x29x41cm
바구니까지 높이: 35cm (±1~2cm)
손잡이까지 높이: 41cm (±1~2cm)

참고하시어 구매 부탁드리며, 즐거운 쇼핑 되시기 바랍니다.

다른 문의사항이나 불편사항이 있으시다면,
언제든지 고객센터 1644-4490 혹은 1:1 문의/카카오톡 채팅 상담 이용을 부탁드립니다.

날씨는 춥지만, 마음은 따듯한 하루 보내시기 바랍니다.

감사합니다."
01P0000002426,답변완료,,satu******,2022.09.19,그레이,,
01P0000002558,답변완료,,kijo******,2023.06.14,기타,,
01P0000002558,답변완료,재입고 하긴 하나요? 아니면 앞으로 입고 예정이 없나요?,terc******,2021.10.12,기타,재입고 하긴 하나요? 아니면 앞으로 입고 예정이 없나요?,"안녕하세요 고객님.

대단히 죄송하게도 해당 상품은 별도의 입고 예정이 없는 상태입니다.
언제 쯤 재입고 될지 말씀 드리기 어려운 점 양해 부탁드립니다.

편안하고 행복한 하루 보내세요."
